date,GDP Billions of US $,Per Capita US $,Annual_Change
1960-12-31,37.029883875457,82.1886,
1961-12-31,39.232435784095,85.3543,3.7227
1962-12-31,42.161481858701,89.8818,2.9311
1963-12-31,48.421923458741,101.1264,5.9944
1964-12-31,56.480289940826,115.5375,7.453
1965-12-31,59.554854574794,119.3189,-2.6358
1966-12-31,45.86546203391,89.9973,-0.0553
1967-12-31,50.134942203447,96.3391,7.826
1968-12-31,53.085455870823,99.876,3.3879
1969-12-31,58.447995016849,107.6223,6.5397
1970-12-31,62.422483054517,112.4345,5.1572
1971-12-31,67.350988020904,118.6032,1.6429
1972-12-31,71.463193830406,122.9819,-0.5533
1973-12-31,85.515269585522,143.7787,3.2955
1974-12-31,99.525899115776,163.4781,1.1853
1975-12-31,98.472796457114,158.0362,9.1499
1976-12-31,102.71716446589,161.0921,1.6631
1977-12-31,121.4873224743,186.2135,7.2548
1978-12-31,137.30029530804,205.6934,5.7125
1979-12-31,152.99165379286,224.001,-5.2382
1980-12-31,186.32534508975,266.5778,6.7358
1981-12-31,193.4906100321,270.4706,6.0062
1982-12-31,200.71514536092,274.1113,3.4757
1983-12-31,218.2622734101,291.2381,7.2889
1984-12-31,212.15823416406,276.668,3.8207
1985-12-31,232.51187784204,296.4352,5.2543
1986-12-31,248.9859940442,310.4659,4.7766
1987-12-31,279.03358409216,340.4168,3.9654
1988-12-31,296.58899481206,354.1493,9.6278
1989-12-31,296.04235498613,346.1129,5.9473
1990-12-31,320.97902641963,367.5566,5.5335
1991-12-31,270.10534187923,303.0556,1.0568
1992-12-31,288.20843038396,316.9539,5.4824
1993-12-31,279.29602298792,301.159,4.7508
1994-12-31,327.27558353956,346.103,6.6589
1995-12-31,360.2819527168,373.7665,7.5745
1996-12-31,392.89705434807,399.9501,7.5495
1997-12-31,415.86775386387,415.4938,4.0498
1998-12-31,421.35147750474,413.2989,6.1844
1999-12-31,458.82041733781,441.9988,8.8458
2000-12-31,468.39493726237,443.3142,3.841
2001-12-31,485.44101453864,451.573,4.824
2002-12-31,514.93794887008,470.9868,3.804
2003-12-31,607.69928543387,546.7266,7.8604
2004-12-31,709.14851480466,627.7742,7.9229
2005-12-31,820.3815955129,714.861,7.9234
2006-12-31,940.25988879214,806.7533,8.0607
2007-12-31,1216.7354415249,1028.3348,7.6608
2008-12-31,1198.8955821375,998.5223,3.0867
2009-12-31,1341.8866027987,1101.9608,7.8619
2010-12-31,1675.6153356006,1357.5637,8.4976
2011-12-31,1823.0504053504,1458.1035,5.2413
2012-12-31,1827.6378591357,1443.8795,5.4564
2013-12-31,1856.7221213945,1449.6059,6.3861
2014-12-31,2039.1274462986,1573.8815,7.4102
2015-12-31,2103.5878170418,1605.6054,7.9963
2016-12-31,2294.797978292,1732.5643,8.2563
2017-12-31,2652.7546858346,1981.651,7.0438
2018-12-31,2713.1650575133,2005.863,6.1196
2019-12-31,2875.1423148119,2104.1459,5.0239
