date,Imports Billions of US $, % of GDP,Change
1960-12-31,2.5305025305025,6.8337,
1961-12-31,2.3373023373023,5.9576,-9.7559
1962-12-31,2.5431025431025,6.0318,3.9092
1963-12-31,2.8602028602029,5.9068,3.392
1964-12-31,3.2109032109032,5.685,3.3797
1965-12-31,3.1037379252415,5.2116,-11.0562
1966-12-31,3.06,6.6717,28.6223
1967-12-31,2.9813333333333,5.9466,-3.9436
1968-12-31,2.624,4.943,-14.361
1969-12-31,2.356,4.0309,-13.0351
1970-12-31,2.4213333333333,3.8789,17.915
1971-12-31,2.6956568479897,4.0024,18.0285
1972-12-31,2.6505057822161,3.7089,-1.8884
1973-12-31,4.0391707999491,4.7233,8.0751
1974-12-31,5.9920256783189,6.0206,-12.7581
1975-12-31,6.5454041186123,6.6469,1.2795
1976-12-31,6.2808364006578,6.1147,1.8962
1977-12-31,7.611094890511,6.2649,27.3956
1978-12-31,9.0455996685433,6.5882,0.0491
1979-12-31,12.498142736863,8.1692,19.3208
1980-12-31,17.225826069329,9.245,14.3542
1981-12-31,16.584540954599,8.5712,10.0294
1982-12-31,16.343487427687,8.1426,3.4542
1983-12-31,17.140058765916,7.853,21.9842
1984-12-31,16.391291180133,7.726,-14.3301
1985-12-31,17.776651903182,7.6455,13.8709
1986-12-31,17.486411449576,7.0231,17.084
1987-12-31,19.477194741103,6.9802,-1.6682
1988-12-31,22.111392789793,7.4552,9.1945
1989-12-31,24.133378144805,8.152,2.0844
1990-12-31,27.132072318021,8.4529,3.3658
1991-12-31,22.941358805152,8.4935,0.0152
1992-12-31,27.639684528971,9.5902,21.1281
1993-12-31,27.419390836078,9.8173,19.2673
1994-12-31,33.34957656134,10.1901,22.6016
1995-12-31,43.318430945963,12.0235,28.1259
1996-12-31,45.357287723094,11.5443,-2.44
1997-12-31,49.607490116609,11.9287,13.2007
1998-12-31,53.431584653204,12.681,20.8456
1999-12-31,61.314619861449,13.3635,6.9925
2000-12-31,65.124164122096,13.9037,4.5897
2001-12-31,65.218394082225,13.4349,2.9442
2002-12-31,78.498577658601,15.2443,11.9968
2003-12-31,95.071650073445,15.6445,13.8839
2004-12-31,139.31002096511,19.6447,22.1952
2005-12-31,183.73613169022,22.3964,32.2696
2006-12-31,229.95502712737,24.4565,21.5046
2007-12-31,302.80370435685,24.8866,9.9516
2008-12-31,350.92708550755,29.2709,22.4486
2009-12-31,347.17760208415,25.8724,-1.9258
2010-12-31,449.97432081857,26.8543,15.8119
2011-12-31,566.66715357407,31.0835,20.4117
2012-12-31,571.306638044,31.2593,6.0218
2013-12-31,527.55548149893,28.4133,-8.1458
2014-12-31,529.23967934338,25.9542,0.8712
2015-12-31,465.09747465575,22.1097,-5.85
2016-12-31,480.16928485647,20.9243,4.3819
2017-12-31,582.01772356668,21.9401,17.4146
2018-12-31,639.01326403919,23.5523,8.5976
2019-12-31,614.03173808843,21.3566,-5.4718
