date,Unemployment Rate (%),Annual Change,
1991-12-31,5.45,,
1992-12-31,5.504,0.05,
1993-12-31,5.612,0.11,
1994-12-31,5.631,0.02,
1995-12-31,5.636,0,
1996-12-31,5.652,0.02,
1997-12-31,5.637,-0.02,
1998-12-31,5.631,-0.01,
1999-12-31,5.685,0.05,
2000-12-31,5.663,-0.02,
2001-12-31,5.659,0,
2002-12-31,5.719,0.06,
2003-12-31,5.725,0.01,
2004-12-31,5.669,-0.06,
2005-12-31,5.598,-0.07, 
2006-12-31,5.45,-0.15, 
2007-12-31,5.323,-0.13,
2008-12-31,5.281,-0.04,
2009-12-31,5.566,0.29,
2010-12-31,5.636,0.07,
2011-12-31,5.638,0,
2012-12-31,5.652,0.01,
2013-12-31,5.671,0.02,
2014-12-31,5.608,-0.06,
2015-12-31,5.565,-0.04,
2016-12-31,5.511,-0.05,
2017-12-31,5.419,-0.09,
2018-12-31,5.33,-0.09,
2019-12-31,5.355,0.03,
