Year,Jan,Feb,March,April,May,June,July,August,Sept,Oct,Nov,Dec,Total
1993,7502,7524,8766,9867,10063,9635,9794,10628,10013,10346,11760,18851,124749
1994,7280,7902,9921,9869,10009,9893,9735,11157,10217,10730,12354,20016,129083
1995,7518,7961,9815,10168,10620,10301,9784,11264,10710,10439,12751,20002,131333
1996,7684,8991,10349,10570,11405,10554,10202,12134,10623,11250,12875,19944,136581
1997,8194,8835,10840,10131,11505,10654,10734,12461,10942,11635,13244,21118,140293
1998,8800,9499,10863,11825,12239,11451,11633,12971,11214,12384,13854,22418,149151
1999,9237,10171,12081,12386,13167,12280,12461,13734,12357,12948,14643,24286,159751
2000,9447,11170,12841,13124,13735,12953,12500,14610,13375,13369,15675,24875,167674
2001,10060,11450,13067,13362,13787,12935,12600,14818,12104,13218,15352,24534,167287
2002,10344,11730,13977,13195,14150,13210,12873,15113,12445,14006,15911,25350,172304
2003,10804,11662,13452,13691,14730,13496,13854,15522,13567,14601,16555,26760,178694
2004,11790,13344,14760,15058,15379,14237,14667,15588,14224,15570,17230,28406,190253
2005,12046,13878,15727,15708,15989,15559,15218,16697,14960,16509,18402,30276,200969
2006,12893,14474,16386,16848,17103,16505,16275,17832,16767,17253,19391,31462,213189
2007,13927,15077,18045,17096,18474,17289,16883,18850,16765,17614,20550,30635,221205
2008,14173,15876,17770,17103,19084,17007,17369,19041,15882,16796,18756,26726,215583
2009,13387,14684,15563,16337,17264,15434,16007,17656,15630,17053,18332,27128,204475
2010,13216,14816,17390,17042,17727,16138,16842,17923,16232,17412,20003,28545,213286
2011,13703,15931,18252,18647,18771,17783,17937,19263,17999,18255,20957,31108,228606
2012,14358,17931,20162,18601,19952,18717,18266,20750,18391,18845,22016,31504,239493
2013,15155,17382,20575,19176,20780,18939,19176,21558,18111,19855,22437,31578,244722
2014,15179,17507,20070,20322,21568,18947,19828,21993,18646,20220,23491,32638,250409
2015,15764,17980,20752,20389,22145,19667,20564,22314,19151,20637,23090,33345,255798
2016,15685,18926,21477,20412,21648,20157,20676,22394,19816,20544,23704,34611,260050
2017,15791,17900,21217,21052,21831,20527,20727,22715,19873,20455,24588,33890,260566
2018,15815,18481,22344,20503,23631,21354,21754,23209,19958,21337,25652,34125,268163
2019,16201,17932,21953,21416,22938,20960,21650,23743,19464,21177,24928,34541,266903
2020,16612,18813,10833,2904,8748,15645,16973,18138,18031,19187,20228,30448,196560
